Peak Name: Itraconazole-d9
Use as Internal Standard
Q1/Q3 Masses: 714.50/401.30 Da

Peak Name: Itraconazole
Internal Standard: Itraconazole-d9
Q1/Q3 Masses: 705.20/392.30 Da

Fit	Quadratic	Weighting	1  / (x * x)	Iterate	No
a0	0.00117
a1	0.0021
a2	9.2e-008
Correlation coefficient	0.9967
Use Area



Sample Name	Sample ID	Filetype	Sample Desc.	Set Number	Acquisition Method	Date Of Acq.	Rack Type	Rack Number	Vial Position	Plate Type	Plate Number	Filename	Dil.Factor	Weight To Volume Ratio	Sample Annotation	Sample Annotation	Peak Name	Units	Area	Analyte Peak Height for DAD	Height	Analyte Annotation	Conc.	R.T.	Expected RT	RT Window	Centroid Location	Start Scan	Start Time	End Scan	End Time	Integ.Type	S/N	Peak Width	Standard Query Status	Analyte Mass Range	Analyte Peak Area for DAD	Analyte/IS Area	Analyte/IS Height	Analyte Wavelength Ranges	Analyte UV Range	Analyte Peak Width at 50% Height	Analyte Slope of Baseline	Analyte Processing Alg.	Analyte Peak Asymmetry	IS Peak Name	IS Units	IS Area	IS Peak Area for DAD	IS Height	IS Peak Height for DAD	IS Conc.	IS R.T.	IS Expected RT	IS RT Window	IS Centroid Location	IS Start Scan	IS Start Time	IS Stop Scan	IS End Time	IS Integ.Type	IS S/N	IS Peak Width	IS Mass Range	IS Wavelength Ranges	IS UV Range	IS Peak Width at 50% Height	IS Slope of Baseline	IS Processing Alg.	IS Peak Asymmetry	Use Record	Record Modified	Calc.Conc.	Calculated Concentration for DAD	Rel.R.T.	Accuracy	Resp.Factor	Resp.Factor	Resp.Factor	
166 001 996183 SST-LLOQ 1	1	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 3:47:28	Sample Manager w/ SO	1	12	Roundwell	5	Run 166\996183-S15-166-001.wiff	1.0	0.00			Itraconazole	ng/mL	153.4	N/A	8.67e+001	N/A	N/A	1.78	1.78	10.0	1.78	496	1.73	523	1.83	Base To Base	N/A	0.0945	N/A	705.200/392.300 Da	N/A	1.02e-002	1.55e-002		N/A	0.0201	0.00e+000	Specify Parameters - MQIII	1.07	Itraconazole-d9	ng/mL	15015.6	N/A	5.58e+003	N/A	1.00	1.76	1.76	10.0	1.76	474	1.66	534	1.87	Base To Base	N/A	0.210	714.500/401.300 Da	N/A	N/A	3.99e-002	0.00e+000	Specify Parameters - MQIII	0.998		0	4.31	N/A	1.01	N/A	N/A	0.936	1.00	
166 002 996183 SST-ULOQ 1	2	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 3:54:30	Sample Manager w/ SO	1	11	Roundwell	5	Run 166\996183-S15-166-002.wiff	1.0	0.00			Itraconazole	ng/mL	101489.9	N/A	4.12e+004	N/A	N/A	1.78	1.79	10.0	1.78	480	1.68	566	1.98	Valley	N/A	0.301	N/A	705.200/392.300 Da	N/A	1.34e+001	1.44e+001		N/A	0.0365	0.00e+000	Specify Parameters - MQIII	1.97	Itraconazole-d9	ng/mL	7568.2	N/A	2.86e+003	N/A	1.00	1.77	1.76	10.0	1.76	474	1.66	536	1.87	Base To Base	N/A	0.217	714.500/401.300 Da	N/A	N/A	3.84e-002	0.00e+000	Specify Parameters - MQIII	0.901		0	5200.	N/A	1.00	N/A	N/A	1.00	1.00	
166 003 996183 DB 1	3	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:01:02	Sample Manager w/ SO	1	85	Roundwell	5	Run 166\996183-S15-166-003.wiff	1.0	0.00			Itraconazole	ng/mL	33.6	N/A	2.00e+001	N/A	N/A	1.79	1.78	10.0	1.79	505	1.76	521	1.82	Base To Base	N/A	0.0560	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.0374	0.00e+000	Specify Parameters - MQIII	1.67	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	0.522	0.00	
166 004 996183 DB 1	4	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:07:34	Sample Manager w/ SO	1	86	Roundwell	5	Run 166\996183-S15-166-004.wiff	1.0	0.00			Itraconazole	ng/mL	16.8	N/A	3.00e+001	N/A	N/A	1.74	1.78	10.0	1.74	497	1.74	501	1.75	Base To Base	N/A	0.0140	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.0109	0.00e+000	Specify Parameters - MQIII	1.67	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	0.381	0.00	
166 005 996183 Double Blank 1	5	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:14:06	Sample Manager w/ SO	1	1	Roundwell	5	Run 166\996183-S15-166-005.wiff	1.0	0.00			Itraconazole	ng/mL	23.1	N/A	2.04e+001	N/A	N/A	1.79	1.78	10.0	1.79	509	1.78	517	1.81	Base To Base	N/A	0.0280	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.0234	0.00e+000	Specify Parameters - MQIII	2.21	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	0.917	0.00	
166 006 996183 Single Blank 1	6	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:20:37	Sample Manager w/ SO	1	2	Roundwell	5	Run 166\996183-S15-166-006.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.78	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	0.00e+000	0.00e+000		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	Itraconazole-d9	ng/mL	7901.5	N/A	3.29e+003	N/A	1.00	1.76	1.76	10.0	1.76	476	1.66	527	1.84	Base To Base	N/A	0.179	714.500/401.300 Da	N/A	N/A	3.10e-002	0.00e+000	Specify Parameters - MQIII	0.831		0	No Peak	N/A	0.00	N/A	N/A	0.00	1.00	
166 007 996183 J 1 1	7	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:27:08	Sample Manager w/ SO	1	12	Roundwell	5	Run 166\996183-S15-166-007.wiff	1.0	0.00			Itraconazole	ng/mL	103.0	N/A	5.34e+001	N/A	5.00	1.78	1.78	10.0	1.77	498	1.74	520	1.82	Base To Base	N/A	0.0770	N/A	705.200/392.300 Da	N/A	1.22e-002	1.63e-002		N/A	0.0421	0.00e+000	Specify Parameters - MQIII	1.18	Itraconazole-d9	ng/mL	8434.5	N/A	3.28e+003	N/A	1.00	1.76	1.76	10.0	1.76	483	1.69	564	1.97	Base To Base	N/A	0.284	714.500/401.300 Da	N/A	N/A	4.03e-002	0.00e+000	Specify Parameters - MQIII	2.73	1	0	5.26	N/A	1.01	105.2	0.00244	0.930	1.00	
166 008 996183 I 1 1	8	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:33:40	Sample Manager w/ SO	1	4	Roundwell	5	Run 166\996183-S15-166-008.wiff	1.0	0.00			Itraconazole	ng/mL	306.8	N/A	1.72e+002	N/A	10.0	1.78	1.78	10.0	1.78	495	1.73	526	1.84	Base To Base	N/A	0.109	N/A	705.200/392.300 Da	N/A	2.53e-002	4.43e-002		N/A	0.0220	0.00e+000	Specify Parameters - MQIII	1.29	Itraconazole-d9	ng/mL	12125.7	N/A	3.88e+003	N/A	1.00	1.76	1.76	10.0	1.76	478	1.67	531	1.86	Base To Base	N/A	0.186	714.500/401.300 Da	N/A	N/A	4.96e-002	0.00e+000	Specify Parameters - MQIII	1.15	1	0	11.5	N/A	1.01	115.0	0.00253	0.995	1.00	
166 009 996183 H 1 1	9	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:40:11	Sample Manager w/ SO	1	5	Roundwell	5	Run 166\996183-S15-166-009.wiff	1.0	0.00			Itraconazole	ng/mL	754.3	N/A	2.67e+002	N/A	50.0	1.77	1.78	10.0	1.78	491	1.72	528	1.85	Base To Base	N/A	0.130	N/A	705.200/392.300 Da	N/A	1.03e-001	9.54e-002		N/A	0.0456	0.00e+000	Specify Parameters - MQIII	1.20	Itraconazole-d9	ng/mL	7332.4	N/A	2.80e+003	N/A	1.00	1.76	1.76	10.0	1.76	478	1.67	532	1.86	Base To Base	N/A	0.189	714.500/401.300 Da	N/A	N/A	4.07e-002	0.00e+000	Specify Parameters - MQIII	1.07	1	0	48.4	N/A	1.01	96.8	0.00206	0.998	1.00	
166 010 996183 G 1 1	10	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:46:42	Sample Manager w/ SO	1	6	Roundwell	5	Run 166\996183-S15-166-010.wiff	1.0	0.00			Itraconazole	ng/mL	1844.8	N/A	7.23e+002	N/A	100.	1.78	1.79	10.0	1.78	486	1.70	536	1.87	Base To Base	N/A	0.175	N/A	705.200/392.300 Da	N/A	1.90e-001	1.98e-001		N/A	0.0346	0.00e+000	Specify Parameters - MQIII	1.27	Itraconazole-d9	ng/mL	9724.1	N/A	3.65e+003	N/A	1.00	1.77	1.76	10.0	1.76	482	1.68	537	1.88	Base To Base	N/A	0.193	714.500/401.300 Da	N/A	N/A	3.78e-002	-4.74e-001	Specify Parameters - MQIII	1.26	1	0	89.5	N/A	1.00	89.5	0.00190	1.00	1.00	
