Peak Name: Itraconazole-d9
Use as Internal Standard
Q1/Q3 Masses: 714.40/401.60 Da

Peak Name: Itraconazole
Internal Standard: Itraconazole-d9
Q1/Q3 Masses: 705.20/392.30 Da

Fit	Linear	Weighting	None	Iterate	No
Intercept	-0.0113
Slope	0.000257
Correlation coefficient	0.9994
Use Area



Sample Name	Sample ID	Filetype	Sample Desc.	Set Number	Acquisition Method	Date Of Acq.	Rack Type	Rack Number	Vial Position	Plate Type	Plate Number	Filename	Dil.Factor	Weight To Volume Ratio	Sample Annotation	Sample Annotation	Peak Name	Units	Area	Analyte Peak Height for DAD	Height	Analyte Annotation	Conc.	R.T.	Expected RT	RT Window	Centroid Location	Start Scan	Start Time	End Scan	End Time	Integ.Type	S/N	Peak Width	Standard Query Status	Analyte Mass Range	Analyte Peak Area for DAD	Analyte/IS Area	Analyte/IS Height	Analyte Wavelength Ranges	Analyte UV Range	Analyte Peak Width at 50% Height	Analyte Slope of Baseline	Analyte Processing Alg.	Analyte Peak Asymmetry	Analyte Peak Asymmetry	IS Peak Name	IS Units	IS Area	IS Peak Area for DAD	IS Height	IS Peak Height for DAD	IS Conc.	IS R.T.	IS Expected RT	IS RT Window	IS Centroid Location	IS Start Scan	IS Start Time	IS Stop Scan	IS End Time	IS Integ.Type	IS S/N	IS Peak Width	IS Mass Range	IS Wavelength Ranges	IS UV Range	IS Peak Width at 50% Height	IS Slope of Baseline	IS Processing Alg.	IS Peak Asymmetry	IS Peak Asymmetry	Use Record	Record Modified	Calc.Conc.	Calculated Concentration for DAD	Rel.R.T.	Accuracy	Resp.Factor	
30 001 996183-1 SST LLOQ 1	1	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:06:11	Sample Manager w/ SO	1	15	Roundwell	4	Run 30\996183-S12-30-001.wiff	1.0	0.00			Itraconazole	ng/mL	97.0	N/A	6.53e+001	N/A	N/A	1.58	1.56	5.00	1.57	438	1.53	458	1.60	Base To Base	N/A	0.0701	N/A	705.200/392.300 Da	N/A	6.22e-004	7.68e-004		N/A	0.0183	7.29e+001	Specify Parameters - MQIII	0.575	0.930	Itraconazole-d9	ng/mL	155987.5	N/A	8.50e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	467	1.63	Base To Base	N/A	0.119	714.400/401.600 Da	N/A	N/A	2.84e-002	7.11e+000	Specify Parameters - MQIII	2.02	1.00		0	46.5	N/A	1.01	N/A	N/A	
30 002 996183-1 SST ULOQ 1	2	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:12:56	Sample Manager w/ SO	1	11	Roundwell	4	Run 30\996183-S12-30-002.wiff	1.0	0.00			Itraconazole	ng/mL	180930.6	N/A	9.89e+004	N/A	N/A	1.56	1.56	5.00	1.57	436	1.52	465	1.63	Base To Base	N/A	0.102	N/A	705.200/392.300 Da	N/A	1.25e+000	1.24e+000		N/A	0.0290	1.29e+001	Specify Parameters - MQIII	1.51	0.989	Itraconazole-d9	ng/mL	144322.2	N/A	7.98e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	465	1.63	Base To Base	N/A	0.112	714.400/401.600 Da	N/A	N/A	2.79e-002	9.61e+000	Specify Parameters - MQIII	1.88	0.996		0	4930.	N/A	1.01	N/A	N/A	
30 003 996183-1 Blank 1	3	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:18:57	Sample Manager w/ SO	1	93	Roundwell	4	Run 30\996183-S12-30-003.wiff	1.0	0.00			Itraconazole	ng/mL	24.2	N/A	1.89e+001	N/A	N/A	1.56	1.57	5.00	1.56	441	1.54	453	1.58	Base To Base	N/A	0.0420	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.0257	4.20e+002	Specify Parameters - MQIII	1.18	0.595	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.400/401.600 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	
30 004 996183-1 Blank 1	4	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:24:58	Sample Manager w/ SO	1	94	Roundwell	4	Run 30\996183-S12-30-004.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.57	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.400/401.600 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	
30 005 996183-1 Double Blank 1	5	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:30:59	Sample Manager w/ SO	1	1	Roundwell	4	Run 30\996183-S12-30-005.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.57	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.400/401.600 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00	0.00		0	#DIV/0!	N/A	0.00	N/A	N/A	
30 006 996183-1 Single Blank 1	6	Unknown	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:37:01	Sample Manager w/ SO	1	2	Roundwell	4	Run 30\996183-S12-30-006.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.56	5.00	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	0.00e+000	0.00e+000		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	0.00	Itraconazole-d9	ng/mL	132053.8	N/A	7.34e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	462	1.62	Base To Base	N/A	0.102	714.400/401.600 Da	N/A	N/A	2.79e-002	1.10e+001	Specify Parameters - MQIII	1.61	0.991		0	No Peak	N/A	0.00	N/A	N/A	
30 007 996183-1 J 1 1	7	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:43:04	Sample Manager w/ SO	1	3	Roundwell	4	Run 30\996183-S12-30-007.wiff	1.0	0.00			Itraconazole	ng/mL	109.3	N/A	5.47e+001	N/A	5.00	1.57	1.57	5.00	1.58	442	1.55	466	1.63	Base To Base	N/A	0.0841	N/A	705.200/392.300 Da	N/A	7.62e-004	7.07e-004		N/A	0.0310	-1.45e+002	Specify Parameters - MQIII	2.69	0.923	Itraconazole-d9	ng/mL	143346.9	N/A	7.74e+004	N/A	1.00	1.55	1.56	5.00	1.56	434	1.52	464	1.62	Base To Base	N/A	0.105	714.400/401.600 Da	N/A	N/A	2.87e-002	1.18e+001	Specify Parameters - MQIII	1.80	0.990	1	0	47.0	N/A	1.01	940.9	0.000152	
30 008 996183-1 I 1 1	8	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:49:07	Sample Manager w/ SO	1	4	Roundwell	4	Run 30\996183-S12-30-008.wiff	1.0	0.00			Itraconazole	ng/mL	247.7	N/A	1.86e+002	N/A	10.0	1.56	1.56	5.00	1.56	440	1.54	454	1.59	Base To Base	N/A	0.0491	N/A	705.200/392.300 Da	N/A	1.87e-003	2.63e-003		N/A	0.0229	3.66e+001	Specify Parameters - MQIII	0.837	0.816	Itraconazole-d9	ng/mL	132119.8	N/A	7.05e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	460	1.61	Base To Base	N/A	0.0946	714.400/401.600 Da	N/A	N/A	3.02e-002	1.60e+001	Specify Parameters - MQIII	1.55	0.986	1	0	51.4	N/A	1.01	513.8	0.000187	
30 009 996183-1 H 1 1	9	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 19:55:09	Sample Manager w/ SO	1	5	Roundwell	4	Run 30\996183-S12-30-009.wiff	1.0	0.00			Itraconazole	ng/mL	1226.2	N/A	6.52e+002	N/A	50.0	1.57	1.56	5.00	1.57	439	1.53	460	1.61	Base To Base	N/A	0.0736	N/A	705.200/392.300 Da	N/A	9.04e-003	8.92e-003		N/A	0.0310	5.56e+001	Specify Parameters - MQIII	1.25	0.956	Itraconazole-d9	ng/mL	135646.3	N/A	7.31e+004	N/A	1.00	1.55	1.56	5.00	1.56	433	1.51	463	1.62	Base To Base	N/A	0.105	714.400/401.600 Da	N/A	N/A	2.90e-002	1.23e+001	Specify Parameters - MQIII	1.65	0.994	1	0	79.3	N/A	1.01	158.5	0.000181	
30 010 996183-1 G 1 1	10	Standard	none	0	996183-1 S12 2022-09-22 A1B1C1.dam	22-Sep-2022 20:01:12	Sample Manager w/ SO	1	6	Roundwell	4	Run 30\996183-S12-30-010.wiff	1.0	0.00			Itraconazole	ng/mL	2341.0	N/A	1.26e+003	N/A	100.	1.57	1.57	5.00	1.57	438	1.53	460	1.61	Base To Base	N/A	0.0771	N/A	705.200/392.300 Da	N/A	1.80e-002	1.76e-002		N/A	0.0299	2.05e+001	Specify Parameters - MQIII	1.07	0.980	Itraconazole-d9	ng/mL	130080.0	N/A	7.19e+004	N/A	1.00	1.56	1.56	5.00	1.56	434	1.52	462	1.62	Base To Base	N/A	0.0981	714.400/401.600 Da	N/A	N/A	2.83e-002	1.42e+001	Specify Parameters - MQIII	1.54	0.987	1	0	114.	N/A	1.01	114.1	0.000180	
